gvkey,call_year,call_quarter,transcriptid,n_tokens,net_tone,strong_modality,inverse_hedging
029751,2018,1,1462528,2645,12.476370510396976,3.780718336483932,-10.964083175803403
029751,2018,2,1539181,3369,9.201543484713564,5.6396556841792815,-8.60789551795785
029751,2018,3,1613884,3164,5.056890012642225,4.740834386852086,-7.585335018963338
029751,2018,4,1665720,3092,8.408796895213454,10.349288486416558,-6.468305304010348
029751,2019,1,1741438,3004,5.9920106524633825,6.324900133155793,-5.326231691078562
029751,2019,2,1803244,3531,8.21297082979326,13.593882752761258,-6.513735485698103
029751,2019,3,1869235,4003,10.492130901823632,8.49362977766675,-6.994753934549088
029751,2019,4,1927283,2959,4.731328151402501,7.096992227103751,-8.110848259547144
029751,2020,1,2007127,1932,-0.5175983436853002,10.869565217391305,-9.316770186335404
029751,2020,2,2064358,2143,5.132991133924405,5.599626691553897,-8.866075594960336
029751,2020,3,2154984,2324,2.1514629948364887,4.3029259896729775,-6.024096385542169
029751,2020,4,2215483,3945,11.153358681875794,6.844106463878328,-6.083650190114069
029751,2021,1,2272675,2959,11.828320378506252,5.40723217303143,-3.717472118959108
029751,2021,2,2365178,3435,3.202328966521106,4.657933042212518,-7.278020378457059
029751,2021,3,2425054,3569,9.806668534603531,6.164191650322219,-7.284953768562623
029751,2021,4,2497821,3697,7.844197998377063,7.032729239924263,-7.032729239924263
029751,2022,1,2555714,2871,9.404388714733543,6.617903169627308,-6.617903169627308
029751,2022,2,2616034,3473,10.653613590555715,5.470774546501583,-7.486323063633746
029751,2022,3,2673479,2487,13.671089666264574,7.639726578206674,-7.639726578206674
006008,2018,1,1441878,3111,17.036322725811637,6.107360977177756,-9.964641594342655
006008,2018,2,1510845,4169,27.824418325737586,5.516910530103142,-4.557447829215639
006008,2018,3,1581054,5063,21.726249259332413,6.517874777799724,-5.530317993284614
006008,2018,4,1640911,5244,14.492753623188406,5.339435545385202,-6.2929061784897025
006008,2019,1,1711554,4441,16.662913758162578,4.053141184417924,-9.23215492006305
006008,2019,2,1781548,3734,25.441885377611143,4.8205677557579,-5.891805034815212
006008,2019,3,1846749,4156,21.65543792107796,8.180943214629451,-5.293551491819057
006008,2019,4,1894291,4160,19.951923076923077,6.009615384615385,-3.8461538461538463
006008,2020,1,2014988,3719,17.746706103791343,5.915568701263781,-3.7644528098951335
006008,2020,2,2077141,3552,10.97972972972973,4.504504504504505,-5.912162162162162
006008,2020,3,2148181,4164,19.93275696445725,6.003842459173871,-6.964457252641691
006008,2020,4,2178259,3305,26.021180030257188,3.9334341906202726,-5.748865355521937
006008,2021,1,2256000,4745,28.661749209694417,7.165437302423604,-3.7934668071654376
006008,2021,2,2350033,4190,25.536992840095465,7.875894988066825,-1.1933174224343674
006008,2021,3,2409518,5812,32.17481073640744,9.11906400550585,-2.9249827942188578
006008,2021,4,2478141,5163,26.92233197753244,9.296920395119116,-3.68003098973465
006008,2022,1,2547679,5906,20.826278360988827,6.43413477819167,-3.217067389095835
006008,2022,2,2608275,5806,17.39579745091285,6.889424733034791,-3.4447123665173955
006008,2022,3,2666610,5546,23.440317345834835,9.556437071763433,-4.147133068878471
012540,2018,1,1420728,4195,27.65196662693683,5.959475566150179,-2.860548271752086
012540,2018,2,1491371,4683,29.04121289771514,5.551996583386718,-2.135383301302584
012540,2018,3,1558640,5120,23.4375,6.25,-2.34375
012540,2018,4,1630305,5201,20.188425302826378,5.960392232263026,-3.2686021918861754
012540,2019,1,1689535,5162,25.57148392096087,2.905850445563735,-2.5184037194885702
012540,2019,2,1767920,4516,26.79362267493357,4.871567759078831,-3.100088573959256
012540,2019,3,1825893,4856,25.53542009884679,3.912685337726524,-4.736408566721582
012540,2019,4,1885230,4055,33.53884093711467,4.932182490752158,-4.192355117139334
012540,2020,1,1937286,4797,21.263289555972484,8.130081300813009,-7.087763185324161
012540,2020,2,2024527,5343,20.026202507954334,7.299270072992701,-5.053340819764178
012540,2020,3,2123214,4977,27.124773960217,5.826803295157726,-3.616636528028933
012540,2020,4,2162328,9137,25.719601619787678,5.581700777060305,-5.691145890335997
012540,2021,1,2241429,5815,26.655202063628547,5.674978503869303,-4.815133276010318
012540,2021,2,2323054,5609,22.28561240862899,5.170262078801925,-1.782848992690319
012540,2021,3,2399875,5403,20.17397741995188,5.737553211178975,-2.5911530631130852
012540,2021,4,2477888,6007,28.966206092891625,3.8288663226236057,-6.492425503579157
012540,2022,1,2529052,3292,19.74483596597813,5.1640340218712035,-4.860267314702309
012540,2022,2,2590683,2319,25.010780508840018,9.055627425614489,-7.761966364812419
012540,2022,3,2655421,3125,31.68,6.08,-7.04
012540,2022,4,3000557,2958,25.016903313049358,7.099391480730223,-4.394861392832995
125595,2018,1,1552570,2968,11.79245283018868,2.3584905660377355,-4.0431266846361185
125595,2018,2,1567078,2175,22.528735632183906,5.057471264367816,-5.977011494252873
125595,2018,3,1585744,3740,12.834224598930483,3.2085561497326207,-6.149732620320856
125595,2018,4,1659154,2857,24.501225061253063,4.550227511375569,-6.300315015750788
125595,2019,1,1716628,2912,26.442307692307693,6.868131868131869,-3.4340659340659343
125595,2019,2,1812111,3708,7.5512405609492985,4.584681769147789,-4.314994606256742
125595,2019,3,1849496,4399,13.866787906342351,3.182541486701523,-3.8645146624232782
125595,2019,4,1913684,3945,14.448669201520914,2.7883396704689485,-3.8022813688212933
125595,2020,1,2017493,3017,10.938017898574744,3.314550878355983,-6.629101756711966
125595,2020,2,2087777,3337,7.49175906502847,2.39736290080911,-5.693736889421636
125595,2020,3,2166116,3835,15.384615384615385,3.129074315514994,-6.258148631029988
125595,2020,4,2201209,3581,12.566322256352974,8.936051382295448,-3.07176766266406
125595,2021,1,2269354,2489,11.651265568501406,0.8035355564483728,-3.6159100040176777
125595,2021,2,2361489,4203,-1.6654770402093744,3.8068046633357127,-4.996431120628123
125595,2021,3,2422276,2627,1.5226494099733536,5.329272934906737,-3.806623524933384
125595,2021,4,2495061,3648,17.54385964912281,8.771929824561404,-5.482456140350878
125595,2022,1,2551912,4500,8.666666666666666,4.666666666666666,-8.0
125595,2022,2,2624745,2709,11.443337024732374,4.798818752307124,-5.537098560354375
125595,2022,3,2680079,3474,12.377662636729994,4.317789291882556,-4.029936672423719
141384,2018,1,1619953,6059,9.902624195411784,3.6309622049843204,-4.456180887935303
141384,2018,2,1517561,4664,14.150943396226415,3.216123499142367,-4.716981132075471
141384,2018,3,1584072,5361,11.751538891997761,4.84984144749114,-3.730647267300877
141384,2018,4,1642421,6006,16.317016317016318,4.162504162504162,-4.662004662004662
141384,2019,1,1715140,4842,13.837257331681123,4.337050805452292,-3.7174721189591073
141384,2019,2,1780433,6938,11.963101758431824,2.5944076102623232,-4.03574517151917
141384,2019,3,1839608,4389,13.898382319434951,2.2784233310549102,-3.417634996582365
141384,2019,4,1897110,5113,13.886172501466849,5.476237042831997,-7.040876197926853
