gvkey,conm,call_year,call_quarter,call_date,transcriptid,ceo_matched,speaker_matched,match_score,n_presenter_segments,n_answer_segments,total_words,filename,match_method,passes_word_filter
029751,Albemarle Corporation,2018,1,2018-05-10,1462528,"Luther Kissam, IV",Luther Kissam,86.66666666666667,2,17,2739,029751_2018_Q1_1462528.txt,,True
029751,Albemarle Corporation,2018,2,2018-08-08,1539181,"Luther Kissam, IV",Luther Kissam,86.66666666666667,2,21,3489,029751_2018_Q2_1539181.txt,,True
029751,Albemarle Corporation,2018,3,2018-11-08,1613884,"Luther Kissam, IV",Luther Kissam,86.66666666666667,2,20,3265,029751_2018_Q3_1613884.txt,,True
029751,Albemarle Corporation,2018,4,2019-02-21,1665720,"Luther Kissam, IV",Luther Kissam,86.66666666666667,2,16,3208,029751_2018_Q4_1665720.txt,,True
029751,Albemarle Corporation,2019,1,2019-05-09,1741438,"Luther Kissam, IV",Luther Kissam,86.66666666666667,1,25,3085,029751_2019_Q1_1741438.txt,,True
029751,Albemarle Corporation,2019,2,2019-08-08,1803244,"Luther Kissam, IV",Luther Kissam,86.66666666666667,1,25,3626,029751_2019_Q2_1803244.txt,,True
029751,Albemarle Corporation,2019,3,2019-11-07,1869235,"Luther Kissam, IV",Luther Kissam,86.66666666666667,1,28,4109,029751_2019_Q3_1869235.txt,,True
029751,Albemarle Corporation,2019,4,2020-02-20,1927283,"Luther Kissam, IV",Luther Kissam,86.66666666666667,1,18,3072,029751_2019_Q4_1927283.txt,,True
029751,Albemarle Corporation,2020,1,2020-05-07,2007127,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,6,1958,029751_2020_Q1_2007127.txt,,True
029751,Albemarle Corporation,2020,2,2020-08-06,2064358,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,8,2175,029751_2020_Q2_2064358.txt,,True
029751,Albemarle Corporation,2020,3,2020-11-05,2154984,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,21,2397,029751_2020_Q3_2154984.txt,,True
029751,Albemarle Corporation,2020,4,2021-02-18,2215483,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,21,4048,029751_2020_Q4_2215483.txt,,True
029751,Albemarle Corporation,2021,1,2021-05-06,2272675,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,18,3025,029751_2021_Q1_2272675.txt,,True
029751,Albemarle Corporation,2021,2,2021-08-05,2365178,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,24,3508,029751_2021_Q2_2365178.txt,,True
029751,Albemarle Corporation,2021,3,2021-11-04,2425054,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,21,3655,029751_2021_Q3_2425054.txt,,True
029751,Albemarle Corporation,2021,4,2022-02-17,2497821,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,4,20,3816,029751_2021_Q4_2497821.txt,,True
029751,Albemarle Corporation,2022,1,2022-05-05,2555714,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,15,2936,029751_2022_Q1_2555714.txt,,True
029751,Albemarle Corporation,2022,2,2022-08-04,2616034,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,22,3570,029751_2022_Q2_2616034.txt,,True
029751,Albemarle Corporation,2022,3,2022-11-03,2673479,"Jerry Masters, Jr.",Jerry Masters,83.87096774193549,2,15,2535,029751_2022_Q3_2673479.txt,,True
006008,Intel Corporation,2018,1,2018-04-26,1441878,Robert Swan,Robert Swan,100.0,1,8,3267,006008_2018_Q1_1441878.txt,,True
006008,Intel Corporation,2018,2,2018-07-26,1510845,Robert Swan,Robert Swan,100.0,1,10,4315,006008_2018_Q2_1510845.txt,,True
006008,Intel Corporation,2018,3,2018-10-25,1581054,Robert Swan,Robert Swan,100.0,1,8,5287,006008_2018_Q3_1581054.txt,,True
006008,Intel Corporation,2018,4,2019-01-24,1640911,Robert Swan,Robert Swan,100.0,1,8,5465,006008_2018_Q4_1640911.txt,,True
006008,Intel Corporation,2019,1,2019-04-25,1711554,Robert Swan,Robert Swan,100.0,1,12,4521,006008_2019_Q1_1711554.txt,,True
006008,Intel Corporation,2019,2,2019-07-25,1781548,Robert Swan,Robert Swan,100.0,1,8,3797,006008_2019_Q2_1781548.txt,,True
006008,Intel Corporation,2019,3,2019-10-24,1846749,Robert Swan,Robert Swan,100.0,1,13,4310,006008_2019_Q3_1846749.txt,,True
006008,Intel Corporation,2019,4,2020-01-23,1894291,Robert Swan,Robert Swan,100.0,1,12,4299,006008_2019_Q4_1894291.txt,,True
006008,Intel Corporation,2020,1,2020-04-23,2014988,Robert Swan,Robert Swan,100.0,1,8,3780,006008_2020_Q1_2014988.txt,,True
006008,Intel Corporation,2020,2,2020-07-23,2077141,Robert Swan,Robert Swan,100.0,1,8,3630,006008_2020_Q2_2077141.txt,,True
006008,Intel Corporation,2020,3,2020-10-22,2148181,Robert Swan,Robert Swan,100.0,2,9,4263,006008_2020_Q3_2148181.txt,,True
006008,Intel Corporation,2020,4,2021-01-21,2178259,Robert Swan,Robert Swan,100.0,1,8,3391,006008_2020_Q4_2178259.txt,,True
006008,Intel Corporation,2021,1,2021-04-22,2256000,Patrick Gelsinger,Patrick Gelsinger,100.0,1,14,4802,006008_2021_Q1_2256000.txt,,True
006008,Intel Corporation,2021,2,2021-07-22,2350033,Patrick Gelsinger,Patrick Gelsinger,100.0,1,10,4224,006008_2021_Q2_2350033.txt,,True
006008,Intel Corporation,2021,3,2021-10-21,2409518,Patrick Gelsinger,Patrick Gelsinger,100.0,1,12,5877,006008_2021_Q3_2409518.txt,,True
006008,Intel Corporation,2021,4,2022-01-26,2478141,Patrick Gelsinger,Patrick Gelsinger,100.0,1,11,5256,006008_2021_Q4_2478141.txt,,True
006008,Intel Corporation,2022,1,2022-04-28,2547679,Patrick Gelsinger,Patrick Gelsinger,100.0,1,11,5991,006008_2022_Q1_2547679.txt,,True
006008,Intel Corporation,2022,2,2022-07-28,2608275,Patrick Gelsinger,Patrick Gelsinger,100.0,1,8,5904,006008_2022_Q2_2608275.txt,,True
006008,Intel Corporation,2022,3,2022-10-27,2666610,Patrick Gelsinger,Patrick Gelsinger,100.0,1,12,5616,006008_2022_Q3_2666610.txt,,True
012540,Adobe Inc.,2018,1,2018-03-15,1420728,Shantanu Narayen,Shantanu Narayen,100.0,1,16,4229,012540_2018_Q1_1420728.txt,,True
012540,Adobe Inc.,2018,2,2018-06-14,1491371,Shantanu Narayen,Shantanu Narayen,100.0,1,19,4712,012540_2018_Q2_1491371.txt,,True
012540,Adobe Inc.,2018,3,2018-09-13,1558640,Shantanu Narayen,Shantanu Narayen,100.0,1,17,5134,012540_2018_Q3_1558640.txt,,True
012540,Adobe Inc.,2018,4,2018-12-13,1630305,Shantanu Narayen,Shantanu Narayen,100.0,1,15,5273,012540_2018_Q4_1630305.txt,,True
012540,Adobe Inc.,2019,1,2019-03-14,1689535,Shantanu Narayen,Shantanu Narayen,100.0,1,17,5221,012540_2019_Q1_1689535.txt,,True
012540,Adobe Inc.,2019,2,2019-06-18,1767920,Shantanu Narayen,Shantanu Narayen,100.0,1,12,4550,012540_2019_Q2_1767920.txt,,True
012540,Adobe Inc.,2019,3,2019-09-17,1825893,Shantanu Narayen,Shantanu Narayen,100.0,1,14,4885,012540_2019_Q3_1825893.txt,,True
012540,Adobe Inc.,2019,4,2019-12-12,1885230,Shantanu Narayen,Shantanu Narayen,100.0,1,13,4096,012540_2019_Q4_1885230.txt,,True
012540,Adobe Inc.,2020,1,2020-03-12,1937286,Shantanu Narayen,Shantanu Narayen,100.0,1,12,4834,012540_2020_Q1_1937286.txt,,True
012540,Adobe Inc.,2020,2,2020-06-11,2024527,Shantanu Narayen,Shantanu Narayen,100.0,1,11,5392,012540_2020_Q2_2024527.txt,,True
012540,Adobe Inc.,2020,3,2020-09-15,2123214,Shantanu Narayen,Shantanu Narayen,100.0,1,16,5002,012540_2020_Q3_2123214.txt,,True
012540,Adobe Inc.,2020,4,2020-12-10,2162328,Shantanu Narayen,Shantanu Narayen,100.0,1,14,9208,012540_2020_Q4_2162328.txt,,True
012540,Adobe Inc.,2021,1,2021-03-23,2241429,Shantanu Narayen,Shantanu Narayen,100.0,2,17,5873,012540_2021_Q1_2241429.txt,,True
012540,Adobe Inc.,2021,2,2021-06-17,2323054,Shantanu Narayen,Shantanu Narayen,100.0,1,16,5649,012540_2021_Q2_2323054.txt,,True
012540,Adobe Inc.,2021,3,2021-09-21,2399875,Shantanu Narayen,Shantanu Narayen,100.0,1,14,5442,012540_2021_Q3_2399875.txt,,True
012540,Adobe Inc.,2021,4,2021-12-16,2477888,Shantanu Narayen,Shantanu Narayen,100.0,3,12,6058,012540_2021_Q4_2477888.txt,,True
012540,Adobe Inc.,2022,1,2022-03-22,2529052,Shantanu Narayen,Shantanu Narayen,100.0,2,11,3323,012540_2022_Q1_2529052.txt,,True
012540,Adobe Inc.,2022,2,2022-06-16,2590683,Shantanu Narayen,Shantanu Narayen,100.0,2,11,2331,012540_2022_Q2_2590683.txt,,True
012540,Adobe Inc.,2022,3,2022-09-15,2655421,Shantanu Narayen,Shantanu Narayen,100.0,2,9,3149,012540_2022_Q3_2655421.txt,,True
012540,Adobe Inc.,2022,4,2022-12-15,3000557,Shantanu Narayen,Shantanu Narayen,100.0,2,9,2986,012540_2022_Q4_3000557.txt,,True
125595,"Akamai Technologies, Inc.",2018,1,2018-04-30,1552570,F. Leighton,F. Leighton,100.0,1,12,3020,125595_2018_Q1_1552570.txt,,True
125595,"Akamai Technologies, Inc.",2018,2,2018-07-31,1567078,F. Leighton,F. Leighton,100.0,1,8,2209,125595_2018_Q2_1567078.txt,,True
125595,"Akamai Technologies, Inc.",2018,3,2018-10-29,1585744,F. Leighton,F. Leighton,100.0,1,9,3789,125595_2018_Q3_1585744.txt,,True
125595,"Akamai Technologies, Inc.",2018,4,2019-02-12,1659154,F. Leighton,F. Leighton,100.0,1,9,2913,125595_2018_Q4_1659154.txt,,True
125595,"Akamai Technologies, Inc.",2019,1,2019-04-30,1716628,F. Leighton,F. Leighton,100.0,1,14,2959,125595_2019_Q1_1716628.txt,,True
125595,"Akamai Technologies, Inc.",2019,2,2019-07-30,1812111,F. Leighton,F. Leighton,100.0,1,13,3758,125595_2019_Q2_1812111.txt,,True
125595,"Akamai Technologies, Inc.",2019,3,2019-10-28,1849496,F. Leighton,F. Leighton,100.0,1,9,4451,125595_2019_Q3_1849496.txt,,True
125595,"Akamai Technologies, Inc.",2019,4,2020-02-11,1913684,F. Leighton,F. Leighton,100.0,1,16,4027,125595_2019_Q4_1913684.txt,,True
125595,"Akamai Technologies, Inc.",2020,1,2020-04-28,2017493,F. Leighton,F. Leighton,100.0,1,9,3048,125595_2020_Q1_2017493.txt,,True
125595,"Akamai Technologies, Inc.",2020,2,2020-07-28,2087777,F. Leighton,F. Leighton,100.0,1,9,3373,125595_2020_Q2_2087777.txt,,True
125595,"Akamai Technologies, Inc.",2020,3,2020-10-27,2166116,F. Leighton,F. Leighton,100.0,1,16,3887,125595_2020_Q3_2166116.txt,,True
125595,"Akamai Technologies, Inc.",2020,4,2021-02-09,2201209,F. Leighton,F. Leighton,100.0,1,10,3658,125595_2020_Q4_2201209.txt,,True
125595,"Akamai Technologies, Inc.",2021,1,2021-05-04,2269354,F. Leighton,F. Leighton,100.0,1,9,2540,125595_2021_Q1_2269354.txt,,True
125595,"Akamai Technologies, Inc.",2021,2,2021-08-03,2361489,F. Leighton,F. Leighton,100.0,1,11,4260,125595_2021_Q2_2361489.txt,,True
125595,"Akamai Technologies, Inc.",2021,3,2021-11-02,2422276,F. Leighton,F. Leighton,100.0,1,9,2653,125595_2021_Q3_2422276.txt,,True
125595,"Akamai Technologies, Inc.",2021,4,2022-02-15,2495061,F. Leighton,F. Leighton,100.0,2,14,3714,125595_2021_Q4_2495061.txt,,True
125595,"Akamai Technologies, Inc.",2022,1,2022-05-03,2551912,F. Leighton,F. Leighton,100.0,1,17,4564,125595_2022_Q1_2551912.txt,,True
