companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates,rescue_reason
25941,2511954,2022-02-22,"Cadence Design Systems, Inc., Q4 2021 Earnings Call, Feb 22, 2022",Audited Copy,Final,2022-03-01,3631,0,4.0,2021.0,013421,"Cadence Design Systems, Inc.",low_match_score (41.666666666666664),Anirudh Devgan,Lip-Bu Tan,still_low (41.7)
27862,1837615,2019-10-23,"eBay Inc., Q3 2019 Earnings Call, Oct 23, 2019",Edited Copy,Final,2019-10-24,3387,0,3.0,2019.0,114524,eBay Inc.,low_match_score (34.48275862068965),Joe Billante,"Devin Wenig, J.D.",still_low (37.0)
27862,1897946,2020-01-28,"eBay Inc., Q4 2019 Earnings Call, Jan 28, 2020",Proofed Copy,Final,2020-02-01,3535,0,4.0,2019.0,114524,eBay Inc.,low_match_score (34.48275862068965),Joe Billante,"Devin Wenig, J.D.",still_low (37.0)
31148,2215414,2021-02-18,"Marriott International, Inc., Q4 2020 Earnings Call, Feb 18, 2021",Edited Copy,Final,2021-02-18,4219,0,4.0,2020.0,028930,"Marriott International, Inc.",low_match_score (32.432432432432435),Stephanie Linnartz,"Arne Sorenson, J.D.",still_low (34.3)
31148,2278116,2021-05-10,"Marriott International, Inc., Q1 2021 Earnings Call, May 10, 2021",Edited Copy,Final,2021-05-10,2606,0,1.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D.",still_low (32.3)
31148,2361152,2021-08-03,"Marriott International, Inc., Q2 2021 Earnings Call, Aug 03, 2021",Edited Copy,Final,2021-08-03,4131,0,2.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D.",still_low (32.3)
31148,2422979,2021-11-03,"Marriott International, Inc., Q3 2021 Earnings Call, Nov 03, 2021",Edited Copy,Final,2021-11-03,3750,0,3.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D.",still_low (32.3)
31148,2494367,2022-02-15,"Marriott International, Inc., Q4 2021 Earnings Call, Feb 15, 2022",Edited Copy,Final,2022-02-15,4121,0,4.0,2021.0,028930,"Marriott International, Inc.",low_match_score (30.303030303030297),Kathleen Oberg,"Arne Sorenson, J.D.",still_low (32.3)
33328,1372788,2018-01-23,"The Procter & Gamble Company, Q2 2018 Earnings Call, Jan 23, 2018",Audited Copy,Final,2018-01-24,3829,0,2.0,2018.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor,still_low (26.1)
33328,1574093,2018-10-19,"The Procter & Gamble Company, Q1 2019 Earnings Call, Oct 19, 2018",Audited Copy,Final,2018-10-22,3397,0,1.0,2019.0,008762,The Procter & Gamble Company,low_match_score (26.086956521739125),Jon Moeller,David Taylor,still_low (26.1)
