companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates
24827,1437211,2018-04-25,"Amphenol Corporation, Q1 2018 Earnings Call, Apr 25, 2018",Audited Copy,Final,2018-04-26,3926,0,1.0,2018.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1513965,2018-07-25,"Amphenol Corporation, Q2 2018 Earnings Call, Jul 25, 2018",Audited Copy,Final,2018-07-31,4926,0,2.0,2018.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1582457,2018-10-24,"Amphenol Corporation, Q3 2018 Earnings Call, Oct 24, 2018",Audited Copy,Final,2018-10-30,3888,0,3.0,2018.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1640455,2019-01-23,"Amphenol Corporation, Q4 2018 Earnings Call, Jan 23, 2019",Audited Copy,Final,2019-01-25,5235,0,4.0,2018.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1706403,2019-04-24,"Amphenol Corporation, Q1 2019 Earnings Call, Apr 24, 2019",Audited Copy,Final,2019-04-26,4006,0,1.0,2019.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1780232,2019-07-24,"Amphenol Corporation, Q2 2019 Earnings Call, Jul 24, 2019",Audited Copy,Final,2019-07-26,5387,0,2.0,2019.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1850465,2019-10-23,"Amphenol Corporation, Q3 2019 Earnings Call, Oct 23, 2019",Audited Copy,Final,2019-11-01,4978,0,3.0,2019.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,1893435,2020-01-22,"Amphenol Corporation, Q4 2019 Earnings Call, Jan 22, 2020",Audited Copy,Final,2020-01-24,5345,0,4.0,2019.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2013884,2020-04-22,"Amphenol Corporation, Q1 2020 Earnings Call, Apr 22, 2020",Audited Copy,Final,2020-06-10,5402,0,1.0,2020.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2086174,2020-07-22,"Amphenol Corporation, Q2 2020 Earnings Call, Jul 22, 2020",Audited Copy,Final,2020-08-28,4833,0,2.0,2020.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2114784,2020-10-21,"Amphenol Corporation, Q3 2020 Earnings Call, Oct 21, 2020",Edited Copy,Final,2020-10-21,4783,0,3.0,2020.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2182538,2021-01-27,"Amphenol Corporation, Q4 2020 Earnings Call, Jan 27, 2021",Edited Copy,Final,2021-01-27,4393,0,4.0,2020.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2261279,2021-04-28,"Amphenol Corporation, Q1 2021 Earnings Call, Apr 28, 2021",Edited Copy,Final,2021-04-28,3958,0,1.0,2021.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2353181,2021-07-28,"Amphenol Corporation, Q2 2021 Earnings Call, Jul 28, 2021",Edited Copy,Final,2021-07-28,3685,0,2.0,2021.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
24827,2414527,2021-10-27,"Amphenol Corporation, Q3 2021 Earnings Call, Oct 27, 2021",Edited Copy,Final,2021-10-27,3502,0,3.0,2021.0,014282,Amphenol Corporation,low_match_score (58.064516129032256),R. Norwitt,"Richard Norwitt, J.D."
