gvkey,execid,year,exec_fname,exec_lname,ceoann,becameceo,leftofc,prev_execid,prev_year
001161,37809,2017.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,,
001161,37809,2018.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,37809,2017.0
001161,37809,2019.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,37809,2018.0
001161,37809,2020.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,37809,2019.0
001161,37809,2021.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,37809,2020.0
001161,37809,2022.0,Lisa,"Su, Ph.D.",CEO,2014-08-10,,37809,2021.0
001209,46680,2017.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,,
001209,46680,2018.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,46680,2017.0
001209,46680,2019.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,46680,2018.0
001209,46680,2020.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,46680,2019.0
001209,46680,2021.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,46680,2020.0
001209,46680,2022.0,Seifollah,Ghasemi,CEO,2014-07-01,2025-02-01,46680,2021.0
001300,50374,2017.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,,
001300,50374,2018.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,50374,2017.0
001300,50374,2019.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,50374,2018.0
001300,50374,2020.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,50374,2019.0
001300,50374,2021.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,50374,2020.0
001300,50374,2022.0,Darius,Adamczyk,CEO,2017-03-31,2023-06-01,50374,2021.0
001327,24319,2017.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,,
001327,24319,2018.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,24319,2017.0
001327,24319,2019.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,24319,2018.0
001327,24319,2020.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,24319,2019.0
001327,24319,2021.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,24319,2020.0
001327,24319,2022.0,Liam,Griffin,CEO,2016-05-11,2025-02-17,24319,2021.0
001602,33199,2017.0,Robert,Bradway,CEO,2012-05-23,,,
001602,33199,2018.0,Robert,Bradway,CEO,2012-05-23,,33199,2017.0
