gvkey,companyid,companyname
001161,168864,"Advanced Micro Devices, Inc."
001209,248356,"Air Products and Chemicals, Inc."
001300,1340740,Honeywell International Inc.
001327,249489,"Alpha Industries, Inc."
001327,1462309,"Skyworks Solutions, Inc."
001602,24816,Amgen Inc.
001891,126269,"Automatic Data Processing, Inc."
002086,254571,Baxter International Inc.
002136,415798,Verizon Communications Inc.
002285,370857,The Boeing Company
002663,258458,The Campbell's Company
002884,260149,"Lumen Technologies, Inc."
003062,260725,Cintas Corporation
003144,26642,The Coca-Cola Company
003226,173341,Comcast Corporation
003650,265253,Cummins Inc.
004321,269231,Emerson Electric Co.
004510,28606,FMC Corporation
004818,655659,Fluor Corporation
004818,658507,"Alpha Appalachia Holdings, Inc."
005047,177031,General Electric Company
005959,280944,Trane Technologies plc
006008,21127,Intel Corporation
006066,112350,International Business Machines Corporation
006216,282159,Jacobs Solutions Inc.
006304,282225,KLA Corporation
006435,283857,Kimberly-Clark Corporation
006669,30763,Lennar Corporation
007343,289030,"Micron Technology, Inc."
007985,97199,Northrop Grumman Corporation
008543,296308,"Altria Group, Inc."
008762,33328,The Procter & Gamble Company
009777,303591,The J. M. Smucker Company
010115,94614,Stryker Corporation
010867,310078,Union Pacific Corporation
011032,36040,"Universal Health Services, Inc."
011259,313055,Walmart Inc.
012540,24321,Adobe Inc.
012635,128209,"Fiserv, Inc."
013421,25941,"Cadence Design Systems, Inc."
013498,258823,Carnival Corporation Ltd.
013721,215548781,Zoetis Inc.
014282,24827,Amphenol Corporation
014934,266510,Devon Energy Corporation
015855,35000,Gen Digital Inc.
016101,141885706,AbbVie Inc.
020548,258181,Coterra Energy Inc.
023809,25307,"AutoZone, Inc."
024468,29726,Biogen Inc.
025340,107405,"D.R. Horton, Inc."
025434,34745,Starbucks Corporation
026590,318505463,Fortive Corporation
027786,323857,Expand Energy Corporation
028180,324289,"O'Reilly Automotive, Inc."
028930,31148,"Marriott International, Inc."
028930,327972,"Sodexo, Inc."
029736,329501,Tractor Supply Company
029751,18671,Albemarle Corporation
030923,1342651,TechnipFMC plc
031673,24809,"Cencora, Inc."
031846,336160,"Darden Restaurants, Inc."
061483,35644,DaVita Inc.
063080,24893,"ANSYS, Inc."
064166,361335,Quest Diagnostics Incorporated
065772,31468,Mettler-Toledo International Inc.
111864,386024,Cognizant Technology Solutions Corporation
114524,27862,eBay Inc.
125595,24522,"Akamai Technologies, Inc."
138205,29753,"Illumina, Inc."
140541,526573,"Tapestry, Inc."
141384,24568,"Align Technology, Inc."
143357,972190,Accenture plc
146017,1413208,Acuity Inc.
148349,22800180,TransDigm Group Incorporated
149318,3449701,"Wynn Resorts, Limited"
157855,122917,"Salesforce, Inc."
164296,22666093,"Warner Bros. Discovery, Inc."
165993,10081196,"Fidelity National Information Services, Inc."
170841,27306532,Phillips 66
178704,35929,"Ulta Beauty, Inc."
179621,6569181,Philip Morris International Inc.
180405,4222231,"Activision Blizzard, Inc."
199356,140233,"Tripadvisor, Inc."
