# Stratified random sample of S&P 500 firms
# Random seed: 20260608
# Sample size: 80
# Stratification: FF12 industry, proportional to 2017 market cap
permno,start,ending,gvkey,sic,conm,ff12_num,ff12_name,mcap
79678,2015-08-31,2023-10-17,180405,7372,ACTIVISION BLIZZARD INC,6,BusEq,47965.2166
75510,1997-05-06,2024-12-31,012540,7370,ADOBE INC,6,BusEq,89149.31514
61241,2017-03-20,2024-12-31,001161,3674,ADVANCED MICRO DEVICES,6,BusEq,9940.76
87299,2007-07-12,2024-12-31,125595,7370,AKAMAI TECHNOLOGIES INC,6,BusEq,11049.840720000002
84769,2008-09-30,2024-12-31,014282,3678,AMPHENOL CORP,6,BusEq,26840.46
83621,2017-06-19,2024-12-31,063080,7372,ANSYS INC,6,BusEq,12425.89728
44644,1981-02-26,2024-12-31,001891,7374,AUTOMATIC DATA PROCESSING,6,BusEq,45594.7
11403,2017-09-18,2024-12-31,013421,7372,CADENCE DESIGN SYSTEMS INC,6,BusEq,11796.041940000001
86158,2006-11-17,2024-12-31,111864,7370,COGNIZANT TECH SOLUTIONS,6,BusEq,41759.759999999995
22103,1965-01-07,2024-12-31,004321,3823,EMERSON ELECTRIC CO,6,BusEq,40323.92528
89003,2006-11-10,2024-12-31,165993,7374,FIDELITY NATIONAL INFO SVCS,6,BusEq,31331.97
16087,2016-07-05,2024-12-31,026590,3829,FORTIVE CORP,6,BusEq,25163.329999999998
75607,2003-03-31,2024-12-31,015855,7372,GEN DIGITAL INC,6,BusEq,16130.400000000001
88446,2015-11-19,2024-06-21,138205,3826,ILLUMINA INC,6,BusEq,32118.030000000002
59328,1976-12-09,2024-12-31,006008,3674,INTEL CORP,6,BusEq,216351.91999999998
12490,1957-03-01,2024-12-31,006066,7370,INTL BUSINESS MACHINES CORP,6,BusEq,141480.70218
46886,1997-09-15,2024-12-31,006304,3827,KLA CORP,6,BusEq,14352.4284
85621,2016-09-06,2024-12-31,065772,3826,METTLER-TOLEDO INTL INC,6,BusEq,15823.160319999999
53613,1994-09-27,2024-12-31,007343,3674,MICRON TECHNOLOGY INC,6,BusEq,35550.64
24766,1985-06-13,2024-12-31,007985,3812,NORTHROP GRUMMAN CORP,6,BusEq,53428.734260000005
90215,2008-09-15,2024-12-31,157855,7372,SALESFORCE INC,6,BusEq,83137.55523
45911,2015-03-12,2024-12-31,001327,3674,SKYWORKS SOLUTIONS INC,6,BusEq,18657.89
13168,2011-12-21,2019-12-20,199356,7370,TRIPADVISOR INC,6,BusEq,4787.975780000001
28222,1985-04-11,2024-12-31,001209,2810,AIR PRODUCTS & CHEMICALS INC,5,Chems,33018.28212
80191,2016-07-01,2024-12-31,029751,2810,ALBEMARLE CORP,5,Chems,14137.85583
19166,2009-08-19,2024-12-31,004510,2870,FMC CORP,5,Chems,12715.772459999998
18163,1957-03-01,2024-12-31,008762,2840,PROCTER & GAMBLE CO,5,Chems,222519.83355
89216,2016-05-03,2018-06-15,146017,3640,ACUITY INC,2,Durbl,7402.55088
76082,2008-06-23,2024-12-31,020548,1311,COTERRA ENERGY INC,4,Enrgy,13173.4746
87137,2000-08-30,2024-12-31,014934,1311,DEVON ENERGY CORP,4,Enrgy,21735.0
78877,2006-03-03,2018-03-16,027786,1311,EXPAND ENERGY CORP,4,Enrgy,3589.7083199999997
13356,2012-05-01,2024-12-31,170841,2911,PHILLIPS 66,4,Enrgy,50804.6105
16538,2017-01-17,2021-02-11,030923,1389,TECHNIPFMC PLC,4,Enrgy,14559.15
13721,2013-01-02,2024-12-31,016101,2836,ABBVIE INC,10,Hlth,153974.98901
88860,2017-06-19,2024-12-31,141384,3843,ALIGN TECHNOLOGY INC,10,Hlth,17784.087600000003
14008,1992-01-02,2024-12-31,001602,2836,AMGEN INC,10,Hlth,125590.58000000002
27887,1972-09-14,2024-12-31,002086,3841,BAXTER INTERNATIONAL INC,10,Hlth,35001.07328
76841,2003-11-13,2024-12-31,024468,2836,BIOGEN INC,10,Hlth,67377.555
82307,2008-07-31,2024-12-31,061483,8090,DAVITA INC,10,Hlth,13182.8795
84373,2002-12-12,2024-12-31,064166,8071,QUEST DIAGNOSTICS INC,10,Hlth,13296.15
73139,2000-12-12,2024-12-31,010115,3841,STRYKER CORP,10,Hlth,57972.096
79637,2014-09-22,2024-12-31,011032,8062,UNIVERSAL HEALTH SVCS INC,10,Hlth,10680.63045
13788,2013-06-24,2024-12-31,013721,2834,ZOETIS INC,10,Hlth,35020.8052
19561,1957-03-01,2024-12-31,002285,3721,BOEING CO,3,Manuf,174303.31149000002
41080,1965-01-07,2024-12-31,003650,3510,CUMMINS INC,3,Manuf,29180.927999999996
