companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname
18671,1462528,2018-05-10,"Albemarle Corporation, Q1 2018 Earnings Call, May 10, 2018",Audited Copy,Final,2018-05-12,3053,0,1.0,2018.0,029751,Albemarle Corporation
18671,1539181,2018-08-08,"Albemarle Corporation, Q2 2018 Earnings Call, Aug 08, 2018",Audited Copy,Final,2018-08-22,3687,0,2.0,2018.0,029751,Albemarle Corporation
18671,1613884,2018-11-08,"Albemarle Corporation, Q3 2018 Earnings Call, Nov 08, 2018",Audited Copy,Final,2018-11-26,3515,0,3.0,2018.0,029751,Albemarle Corporation
18671,1665720,2019-02-21,"Albemarle Corporation, Q4 2018 Earnings Call, Feb 21, 2019",Audited Copy,Final,2019-02-23,3844,0,4.0,2018.0,029751,Albemarle Corporation
18671,1741438,2019-05-09,"Albemarle Corporation, Q1 2019 Earnings Call, May 09, 2019",Audited Copy,Final,2019-05-21,3491,0,1.0,2019.0,029751,Albemarle Corporation
18671,1803244,2019-08-08,"Albemarle Corporation, Q2 2019 Earnings Call, Aug 08, 2019",Audited Copy,Final,2019-08-13,3565,0,2.0,2019.0,029751,Albemarle Corporation
18671,1869235,2019-11-07,"Albemarle Corporation, Q3 2019 Earnings Call, Nov 07, 2019",Audited Copy,Final,2019-11-19,3548,0,3.0,2019.0,029751,Albemarle Corporation
18671,1927283,2020-02-20,"Albemarle Corporation, Q4 2019 Earnings Call, Feb 20, 2020",Audited Copy,Final,2020-03-03,3453,0,4.0,2019.0,029751,Albemarle Corporation
18671,2007127,2020-05-07,"Albemarle Corporation, Q1 2020 Earnings Call, May 07, 2020",Audited Copy,Final,2020-06-04,3489,0,1.0,2020.0,029751,Albemarle Corporation
18671,2064358,2020-08-06,"Albemarle Corporation, Q2 2020 Earnings Call, Aug 06, 2020",Edited Copy,Final,2020-08-07,3786,0,2.0,2020.0,029751,Albemarle Corporation
18671,2154984,2020-11-05,"Albemarle Corporation, Q3 2020 Earnings Call, Nov 05, 2020",Proofed Copy,Final,2020-11-30,3649,0,3.0,2020.0,029751,Albemarle Corporation
18671,2215483,2021-02-18,"Albemarle Corporation, Q4 2020 Earnings Call, Feb 18, 2021",Edited Copy,Final,2021-02-18,3674,0,4.0,2020.0,029751,Albemarle Corporation
18671,2272675,2021-05-06,"Albemarle Corporation, Q1 2021 Earnings Call, May 06, 2021",Edited Copy,Final,2021-05-06,3360,0,1.0,2021.0,029751,Albemarle Corporation
18671,2365178,2021-08-05,"Albemarle Corporation, Q2 2021 Earnings Call, Aug 05, 2021",Edited Copy,Final,2021-08-05,3742,0,2.0,2021.0,029751,Albemarle Corporation
18671,2425054,2021-11-04,"Albemarle Corporation, Q3 2021 Earnings Call, Nov 04, 2021",Edited Copy,Final,2021-11-04,3664,0,3.0,2021.0,029751,Albemarle Corporation
18671,2497821,2022-02-17,"Albemarle Corporation, Q4 2021 Earnings Call, Feb 17, 2022",Edited Copy,Final,2022-02-17,3768,0,4.0,2021.0,029751,Albemarle Corporation
18671,2555714,2022-05-05,"Albemarle Corporation, Q1 2022 Earnings Call, May 05, 2022",Edited Copy,Final,2022-05-05,3596,0,1.0,2022.0,029751,Albemarle Corporation
18671,2616034,2022-08-04,"Albemarle Corporation, Q2 2022 Earnings Call, Aug 04, 2022",Edited Copy,Final,2022-08-04,3568,0,2.0,2022.0,029751,Albemarle Corporation
18671,2673479,2022-11-03,"Albemarle Corporation, Q3 2022 Earnings Call, Nov 03, 2022",Edited Copy,Final,2022-11-03,3589,0,3.0,2022.0,029751,Albemarle Corporation
21127,1441878,2018-04-26,"Intel Corporation, Q1 2018 Earnings Call, Apr 26, 2018",Proofed Copy,Final,2018-04-30,3635,0,1.0,2018.0,006008,Intel Corporation
21127,1510845,2018-07-26,"Intel Corporation, Q2 2018 Earnings Call, Jul 26, 2018",Edited Copy,Final,2018-07-27,3276,0,2.0,2018.0,006008,Intel Corporation
21127,1581054,2018-10-25,"Intel Corporation, Q3 2018 Earnings Call, Oct 25, 2018",Audited Copy,Final,2018-10-27,3187,0,3.0,2018.0,006008,Intel Corporation
21127,1640911,2019-01-24,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",Audited Copy,Final,2019-01-26,3602,0,4.0,2018.0,006008,Intel Corporation
21127,1711554,2019-04-25,"Intel Corporation, Q1 2019 Earnings Call, Apr 25, 2019",Audited Copy,Final,2019-04-29,3314,0,1.0,2019.0,006008,Intel Corporation
21127,1781548,2019-07-25,"Intel Corporation, Q2 2019 Earnings Call, Jul 25, 2019",Audited Copy,Final,2019-07-27,3381,0,2.0,2019.0,006008,Intel Corporation
21127,1846749,2019-10-24,"Intel Corporation, Q3 2019 Earnings Call, Oct 24, 2019",Audited Copy,Final,2019-10-31,3374,0,3.0,2019.0,006008,Intel Corporation
21127,1894291,2020-01-23,"Intel Corporation, Q4 2019 Earnings Call, Jan 23, 2020",Proofed Copy,Final,2020-01-28,3521,0,4.0,2019.0,006008,Intel Corporation
21127,2014988,2020-04-23,"Intel Corporation, Q1 2020 Earnings Call, Apr 23, 2020",Audited Copy,Final,2020-06-11,3638,0,1.0,2020.0,006008,Intel Corporation
21127,2077141,2020-07-23,"Intel Corporation, Q2 2020 Earnings Call, Jul 23, 2020",Proofed Copy,Final,2020-08-19,3651,0,2.0,2020.0,006008,Intel Corporation
21127,2148181,2020-10-22,"Intel Corporation, Q3 2020 Earnings Call, Oct 22, 2020",Proofed Copy,Final,2020-11-20,3753,0,3.0,2020.0,006008,Intel Corporation
21127,2178259,2021-01-21,"Intel Corporation, Q4 2020 Earnings Call, Jan 21, 2021",Edited Copy,Final,2021-01-22,3843,0,4.0,2020.0,006008,Intel Corporation
21127,2256000,2021-04-22,"Intel Corporation, Q1 2021 Earnings Call, Apr 22, 2021",Edited Copy,Final,2021-04-23,3423,0,1.0,2021.0,006008,Intel Corporation
21127,2350033,2021-07-22,"Intel Corporation, Q2 2021 Earnings Call, Jul 22, 2021",Edited Copy,Final,2021-07-23,3366,0,2.0,2021.0,006008,Intel Corporation
21127,2409518,2021-10-21,"Intel Corporation, Q3 2021 Earnings Call, Oct 21, 2021",Edited Copy,Final,2021-10-22,3644,0,3.0,2021.0,006008,Intel Corporation
21127,2478141,2022-01-26,"Intel Corporation, Q4 2021 Earnings Call, Jan 26, 2022",Edited Copy,Final,2022-01-27,3581,0,4.0,2021.0,006008,Intel Corporation
21127,2547679,2022-04-28,"Intel Corporation, Q1 2022 Earnings Call, Apr 28, 2022",Edited Copy,Final,2022-04-29,3615,0,1.0,2022.0,006008,Intel Corporation
21127,2608275,2022-07-28,"Intel Corporation, Q2 2022 Earnings Call, Jul 28, 2022",Edited Copy,Final,2022-07-29,4061,0,2.0,2022.0,006008,Intel Corporation
21127,2666610,2022-10-27,"Intel Corporation, Q3 2022 Earnings Call, Oct 27, 2022",Edited Copy,Final,2022-10-28,3745,0,3.0,2022.0,006008,Intel Corporation
24321,1420728,2018-03-15,"Adobe Systems Incorporated, Q1 2018 Earnings Call, Mar 15, 2018",Proofed Copy,Final,2018-03-16,3302,0,1.0,2018.0,012540,Adobe Inc.
24321,1491371,2018-06-14,"Adobe Systems Incorporated, Q2 2018 Earnings Call, Jun 14, 2018",Audited Copy,Final,2018-06-16,3463,0,2.0,2018.0,012540,Adobe Inc.
24321,1558640,2018-09-13,"Adobe Systems Incorporated, Q3 2018 Earnings Call, Sep 13, 2018",Audited Copy,Final,2018-09-20,3529,0,3.0,2018.0,012540,Adobe Inc.
24321,1630305,2018-12-13,"Adobe Systems Incorporated, Q4 2018 Earnings Call, Dec 13, 2018",Audited Copy,Final,2019-01-02,3793,0,4.0,2018.0,012540,Adobe Inc.
24321,1689535,2019-03-14,"Adobe Systems Incorporated, Q1 2019 Earnings Call, Mar 14, 2019",Audited Copy,Final,2019-03-19,3710,0,1.0,2019.0,012540,Adobe Inc.
24321,1767920,2019-06-18,"Adobe Systems Incorporated, Q2 2019 Earnings Call, Jun 18, 2019",Audited Copy,Final,2019-06-28,3577,0,2.0,2019.0,012540,Adobe Inc.
24321,1825893,2019-09-17,"Adobe Systems Incorporated, Q3 2019 Earnings Call, Sep 17, 2019",Proofed Copy,Final,2019-09-20,3454,0,3.0,2019.0,012540,Adobe Inc.
24321,1885230,2019-12-12,"Adobe Systems Incorporated, Q4 2019 Earnings Call, Dec 12, 2019",Proofed Copy,Final,2019-12-17,3162,0,4.0,2019.0,012540,Adobe Inc.
24321,1937286,2020-03-12,"Adobe Inc., Q1 2020 Earnings Call, Mar 12, 2020",Proofed Copy,Final,2020-03-16,3290,0,1.0,2020.0,012540,Adobe Inc.
24321,2024527,2020-06-11,"Adobe Inc., Q2 2020 Earnings Call, Jun 11, 2020",Proofed Copy,Final,2020-06-24,3715,0,2.0,2020.0,012540,Adobe Inc.
24321,2123214,2020-09-15,"Adobe Inc., Q3 2020 Earnings Call, Sep 15, 2020",Proofed Copy,Final,2020-10-30,3669,0,3.0,2020.0,012540,Adobe Inc.
24321,2162328,2020-12-10,"Adobe Inc., Q4 2020 Earnings Call, Dec 10, 2020",Edited Copy,Final,2020-12-11,8801,0,4.0,2020.0,012540,Adobe Inc.
24321,2241429,2021-03-23,"Adobe Inc., Q1 2021 Earnings Call, Mar 23, 2021",Edited Copy,Final,2021-03-24,3883,0,1.0,2021.0,012540,Adobe Inc.
24321,2323054,2021-06-17,"Adobe Inc., Q2 2021 Earnings Call, Jun 17, 2021",Edited Copy,Final,2021-06-18,3619,0,2.0,2021.0,012540,Adobe Inc.
24321,2399875,2021-09-21,"Adobe Inc., Q3 2021 Earnings Call, Sep 21, 2021",Edited Copy,Final,2021-09-22,3642,0,3.0,2021.0,012540,Adobe Inc.
24321,2477888,2021-12-16,"Adobe Inc., Q4 2021 Earnings Call, Dec 16, 2021",Edited Copy,Final,2022-01-26,7282,0,4.0,2021.0,012540,Adobe Inc.
24321,2529052,2022-03-22,"Adobe Inc., Q1 2022 Earnings Call, Mar 22, 2022",Edited Copy,Final,2022-03-22,4087,0,1.0,2022.0,012540,Adobe Inc.
24321,2590683,2022-06-16,"Adobe Inc., Q2 2022 Earnings Call, Jun 16, 2022",Edited Copy,Final,2022-06-17,3881,0,2.0,2022.0,012540,Adobe Inc.
24321,2655421,2022-09-15,"Adobe Inc., Q3 2022 Earnings Call, Sep 15, 2022",Audited Copy,Final,2022-10-07,3832,0,3.0,2022.0,012540,Adobe Inc.
24321,3000557,2022-12-15,"Adobe Inc., Q4 2022 Earnings Call, Dec 15, 2022",Edited Copy,Final,2024-01-22,3980,0,4.0,2022.0,012540,Adobe Inc.
24522,1552570,2018-04-30,"Akamai Technologies, Inc., Q1 2018 Earnings Call, Apr 30, 2018",Audited Copy,Final,2018-09-11,4537,0,1.0,2018.0,125595,"Akamai Technologies, Inc."
24522,1567078,2018-07-31,"Akamai Technologies, Inc., Q2 2018 Earnings Call, Jul 31, 2018",Audited Copy,Final,2018-10-09,3888,0,2.0,2018.0,125595,"Akamai Technologies, Inc."
24522,1585744,2018-10-29,"Akamai Technologies, Inc., Q3 2018 Earnings Call, Oct 29, 2018",Audited Copy,Final,2018-10-31,4035,0,3.0,2018.0,125595,"Akamai Technologies, Inc."
24522,1659154,2019-02-12,"Akamai Technologies, Inc., Q4 2018 Earnings Call, Feb 12, 2019",Audited Copy,Final,2019-02-16,4012,0,4.0,2018.0,125595,"Akamai Technologies, Inc."
24522,1716628,2019-04-30,"Akamai Technologies, Inc., Q1 2019 Earnings Call, Apr 30, 2019",Audited Copy,Final,2019-05-02,3924,0,1.0,2019.0,125595,"Akamai Technologies, Inc."
24522,1812111,2019-07-30,"Akamai Technologies, Inc., Q2 2019 Earnings Call, Jul 30, 2019",Proofed Copy,Final,2019-08-28,4458,0,2.0,2019.0,125595,"Akamai Technologies, Inc."
24522,1849496,2019-10-28,"Akamai Technologies, Inc., Q3 2019 Earnings Call, Oct 28, 2019",Proofed Copy,Final,2019-11-01,4018,0,3.0,2019.0,125595,"Akamai Technologies, Inc."
24522,1913684,2020-02-11,"Akamai Technologies, Inc., Q4 2019 Earnings Call, Feb 11, 2020",Audited Copy,Final,2020-02-19,4060,0,4.0,2019.0,125595,"Akamai Technologies, Inc."
24522,2017493,2020-04-28,"Akamai Technologies, Inc., Q1 2020 Earnings Call, Apr 28, 2020",Audited Copy,Final,2020-06-15,3992,0,1.0,2020.0,125595,"Akamai Technologies, Inc."
24522,2087777,2020-07-28,"Akamai Technologies, Inc., Q2 2020 Earnings Call, Jul 28, 2020",Audited Copy,Final,2020-09-01,4445,0,2.0,2020.0,125595,"Akamai Technologies, Inc."
24522,2166116,2020-10-27,"Akamai Technologies, Inc., Q3 2020 Earnings Call, Oct 27, 2020",Proofed Copy,Final,2021-01-07,4155,0,3.0,2020.0,125595,"Akamai Technologies, Inc."
24522,2201209,2021-02-09,"Akamai Technologies, Inc., Q4 2020 Earnings Call, Feb 09, 2021",Edited Copy,Final,2021-02-10,3526,0,4.0,2020.0,125595,"Akamai Technologies, Inc."
24522,2269354,2021-05-04,"Akamai Technologies, Inc., Q1 2021 Earnings Call, May 04, 2021",Edited Copy,Final,2021-05-05,3234,0,1.0,2021.0,125595,"Akamai Technologies, Inc."
24522,2361489,2021-08-03,"Akamai Technologies, Inc., Q2 2021 Earnings Call, Aug 03, 2021",Edited Copy,Final,2021-08-03,3445,0,2.0,2021.0,125595,"Akamai Technologies, Inc."
24522,2422276,2021-11-02,"Akamai Technologies, Inc., Q3 2021 Earnings Call, Nov 02, 2021",Edited Copy,Final,2021-11-03,3296,0,3.0,2021.0,125595,"Akamai Technologies, Inc."
24522,2495061,2022-02-15,"Akamai Technologies, Inc., Q4 2021 Earnings Call, Feb 15, 2022",Edited Copy,Final,2022-02-16,4544,0,4.0,2021.0,125595,"Akamai Technologies, Inc."
24522,2551912,2022-05-03,"Akamai Technologies, Inc., Q1 2022 Earnings Call, May 03, 2022",Edited Copy,Final,2022-05-04,4409,0,1.0,2022.0,125595,"Akamai Technologies, Inc."
24522,2624745,2022-08-09,"Akamai Technologies, Inc., Q2 2022 Earnings Call, Aug 09, 2022",Edited Copy,Final,2022-08-09,3587,0,2.0,2022.0,125595,"Akamai Technologies, Inc."
24522,2680079,2022-11-08,"Akamai Technologies, Inc., Q3 2022 Earnings Call, Nov 08, 2022",Edited Copy,Final,2022-11-09,4274,0,3.0,2022.0,125595,"Akamai Technologies, Inc."
24568,1619953,2018-04-25,"Align Technology, Inc., Q1 2018 Earnings Call, Apr 25, 2018",Audited Copy,Final,2018-12-03,3863,0,1.0,2018.0,141384,"Align Technology, Inc."
24568,1517561,2018-07-25,"Align Technology, Inc., Q2 2018 Earnings Call, Jul 25, 2018",Audited Copy,Final,2018-08-02,3566,0,2.0,2018.0,141384,"Align Technology, Inc."
24568,1584072,2018-10-24,"Align Technology, Inc., Q3 2018 Earnings Call, Oct 24, 2018",Audited Copy,Final,2018-10-30,4008,0,3.0,2018.0,141384,"Align Technology, Inc."
24568,1642421,2019-01-29,"Align Technology, Inc., Q4 2018 Earnings Call, Jan 29, 2019",Edited Copy,Final,2019-01-30,4319,0,4.0,2018.0,141384,"Align Technology, Inc."
24568,1715140,2019-04-24,"Align Technology, Inc., Q1 2019 Earnings Call, Apr 24, 2019",Audited Copy,Final,2019-05-01,4042,0,1.0,2019.0,141384,"Align Technology, Inc."
24568,1780433,2019-07-24,"Align Technology, Inc., Q2 2019 Earnings Call, Jul 24, 2019",Audited Copy,Final,2019-07-26,4432,0,2.0,2019.0,141384,"Align Technology, Inc."
24568,1839608,2019-10-23,"Align Technology, Inc., Q3 2019 Earnings Call, Oct 23, 2019",Audited Copy,Final,2019-10-25,3630,0,3.0,2019.0,141384,"Align Technology, Inc."
24568,1897110,2020-01-29,"Align Technology, Inc., Q4 2019 Earnings Call, Jan 29, 2020",Proofed Copy,Final,2020-01-31,4400,0,4.0,2019.0,141384,"Align Technology, Inc."
24568,2019465,2020-04-29,"Align Technology, Inc., Q1 2020 Earnings Call, Apr 29, 2020",Audited Copy,Final,2020-06-17,4225,0,1.0,2020.0,141384,"Align Technology, Inc."
24568,2082981,2020-07-22,"Align Technology, Inc., Q2 2020 Earnings Call, Jul 22, 2020",Proofed Copy,Final,2020-08-25,4157,0,2.0,2020.0,141384,"Align Technology, Inc."
24568,2165760,2020-10-21,"Align Technology, Inc., Q3 2020 Earnings Call, Oct 21, 2020",Audited Copy,Final,2021-01-06,4565,0,3.0,2020.0,141384,"Align Technology, Inc."
24568,2242020,2021-02-03,"Align Technology, Inc., Q4 2020 Earnings Call, Feb 03, 2021",Proofed Copy,Final,2021-03-24,4211,0,4.0,2020.0,141384,"Align Technology, Inc."
24568,2261819,2021-04-28,"Align Technology, Inc., Q1 2021 Earnings Call, Apr 28, 2021",Edited Copy,Final,2021-04-29,4341,0,1.0,2021.0,141384,"Align Technology, Inc."
24568,2387081,2021-07-28,"Align Technology, Inc., Q2 2021 Earnings Call, Jul 28, 2021",Proofed Copy,Final,2021-08-26,3814,0,2.0,2021.0,141384,"Align Technology, Inc."
24568,2414914,2021-10-27,"Align Technology, Inc., Q3 2021 Earnings Call, Oct 27, 2021",Edited Copy,Final,2021-10-28,4139,0,3.0,2021.0,141384,"Align Technology, Inc."
24568,2483276,2022-02-02,"Align Technology, Inc., Q4 2021 Earnings Call, Feb 02, 2022",Edited Copy,Final,2022-02-02,4071,0,4.0,2021.0,141384,"Align Technology, Inc."
24568,2545506,2022-04-27,"Align Technology, Inc., Q1 2022 Earnings Call, Apr 27, 2022",Edited Copy,Final,2022-04-27,4156,0,1.0,2022.0,141384,"Align Technology, Inc."
24568,2606093,2022-07-27,"Align Technology, Inc., Q2 2022 Earnings Call, Jul 27, 2022",Edited Copy,Final,2022-07-27,4127,0,2.0,2022.0,141384,"Align Technology, Inc."
24568,2664333,2022-10-26,"Align Technology, Inc., Q3 2022 Earnings Call, Oct 26, 2022",Edited Copy,Final,2022-10-26,3835,0,3.0,2022.0,141384,"Align Technology, Inc."
24809,1381662,2018-02-06,"AmerisourceBergen Corporation, Q1 2018 Earnings Call, Feb 06, 2018",Proofed Copy,Final,2018-02-07,3804,0,1.0,2018.0,031673,"Cencora, Inc."
