gvkey,turnover_year,n_pre_calls,n_post_calls,delta_overconf,delta_book_leverage,delta_debt_share,delta_size,delta_profitability,delta_mtb,delta_tangibility,delta_cash,ff12_name
002285,2020,2,3,-0.37137708957554816,0.09741500186015245,-0.32331559455734904,0.1287728923718774,-0.10279357291268632,-0.36852486017645414,-0.017532797219151006,0.06299915926331368,Manuf
003650,2022,4,1,0.9926458414077041,0.020290538078569453,0.15222656846507154,0.3573396934006521,-0.017030254617001694,-0.07847405513983263,-0.018482344393676242,-0.029979965195523303,Manuf
004321,2021,3,2,0.43900867251905706,-0.05310528030031986,0.0,0.3356636424296813,-0.03171418158108058,-0.269742381245329,-0.03770985564282234,-0.017546868197688636,BusEq
004510,2020,2,3,-0.37511106431003977,-0.021960464897898935,-0.08235630548358652,0.06960401442358233,-0.004134201461424861,0.25271612097446794,-0.00937914617460743,0.026684711191361628,Chems
004818,2019,1,1,-0.40423359857666974,0.023759459128862404,1.0,-0.1123172688334737,-0.1225189885723251,-0.11536095584434569,-0.014459233892222104,0.029522499247648576,Other
004818,2021,1,2,0.5221887636880668,-0.08169042723757786,0.0,-0.12228699671740983,0.0901442386692654,0.2073565470475257,-0.02188276348191885,0.10106253713119379,Other
005047,2019,1,4,-0.4677304614376451,-0.14711803421162903,0.013098464317976566,-0.3220495842695481,-0.020714192880325,0.12778555779957557,-0.03781782553701768,0.031417267214729344,Manuf
005959,2021,3,2,0.41987102536959947,-0.018406453452640026,0.13984719468241347,-0.040615544241171975,0.017716524014919063,0.8294943734596663,0.003109054184972662,-0.004883128683885116,Manuf
006008,2021,3,2,0.9922969304568742,0.01737936409309948,0.03708973461792042,0.23238372957596987,-0.10004876039358226,-0.6871609176264815,0.023900374929638035,0.04775029038914745,BusEq
006435,2019,1,4,1.1171489863206903,-0.03245118399470426,-0.10916918195264502,0.16466925504825447,-0.0477401867612976,0.023344877738788572,-0.005697018532963893,-0.015848455213154623,Manuf
006669,2021,3,2,-0.15298307720479873,-0.10919522177143953,0.0006424390269329505,0.19302033484552972,0.07320945659870363,0.04036729838280162,-0.0007843032626360484,0.03994008419194339,Other
007985,2019,1,4,-0.9393129956829344,-0.02463015606136465,,0.13171232489118445,-0.005017384097961056,0.33129782571046595,0.047083468637099946,0.03476064850843148,BusEq
008543,2020,2,3,0.4820743310267622,0.10854064982008427,0.0,-0.24294297332662218,0.09411747715243779,0.39615376686510606,0.004045364834428945,0.07560751888287541,NoDur
008762,2022,1,1,-0.7746644161214677,0.03172106995690477,,-0.00935816406656187,0.029162473052839505,1.2996483916641823,0.013197725087441603,-0.03861189529945311,Chems
012635,2020,2,3,0.38514780573325125,-0.016763500096380557,-0.029821749833802702,0.9724442103982174,-0.03578950506008295,-1.030586827783018,-0.0026727651816593305,-0.012900680306292716,Other
013421,2022,4,1,-1.3109268384953716,0.004556064354916289,-0.18503395989944021,0.3946860938891419,0.03447299171928572,0.5454304648383417,-0.0011014326051187046,-0.055579575285528676,BusEq
013721,2020,2,3,-1.9912428109181701,-0.056511733833680466,-0.492063492063492,0.23671927445391994,0.009604218330665493,1.5199336596985367,0.018330894147065846,0.08914845433413054,Hlth
014934,2021,3,2,0.4638619960947281,-0.09701333539834028,,0.4773113188551754,0.2219033000930465,0.8614370448702021,0.10787854556973109,-0.06782081355145891,Enrgy
