gvkey,execid,year,exec_fname,exec_lname,ceoann,becameceo,leftofc,prev_execid,prev_year,conm,ff12_name
002136,52465,2019.0,Hans,Vestberg,CEO,2018-08-01,2025-10-06,32564,2018.0,VERIZON COMMUNICATIONS INC,Telcm
002285,45058,2020.0,David,Calhoun,CEO,2020-01-13,2024-08-08,42427,2019.0,BOEING CO,Manuf
002663,46069,2019.0,Mark,Clouse,CEO,2019-01-22,2025-01-31,34167,2018.0,CAMPBELL'S CO (THE),NoDur
002884,24668,2018.0,Jeffrey,Storey,CEO,2018-05-01,2022-11-07,00190,2017.0,LUMEN TECHNOLOGIES INC,Telcm
003062,57023,2021.0,Todd,Schneider,CEO,2021-06-01,,15654,2020.0,CINTAS CORP,Shops
003650,61303,2022.0,Jennifer,Rumsey,CEO,2022-08-01,,23034,2021.0,CUMMINS INC,Manuf
004321,57481,2021.0,Surendralal,Karsanbhai,CEO,2021-02-05,,20396,2020.0,EMERSON ELECTRIC CO,BusEq
004510,43861,2020.0,Mark,Douglas,CEO,2020-06-01,2024-06-11,21033,2019.0,FMC CORP,Chems
004818,40835,2019.0,Carlos,"Hernandez, J.D.",CEO,2019-05-01,2020-12-31,35166,2018.0,FLUOR CORP,Other
004818,59475,2021.0,David,"Constable, B.Sc.",CEO,2021-01-01,2025-05-01,40835,2020.0,FLUOR CORP,Other
005047,54024,2018.0,John,Flannery,CEO,2017-08-01,2018-10-01,20859,2017.0,GE AEROSPACE,Manuf
005047,13127,2019.0,H.,"Culp, Jr.",CEO,2018-10-01,,54024,2018.0,GE AEROSPACE,Manuf
005959,54953,2021.0,David,Regnery,CEO,2021-07-01,,27705,2020.0,TRANE TECHNOLOGIES PLC,Manuf
006008,26136,2018.0,Robert,Swan,CEO,2018-06-01,2021-02-15,44188,2017.0,INTEL CORP,BusEq
006008,37196,2021.0,Patrick,Gelsinger,CEO,2021-02-15,2024-12-01,26136,2020.0,INTEL CORP,BusEq
006066,59499,2020.0,Arvind,Krishna,CEO,2020-04-06,,35092,2019.0,INTL BUSINESS MACHINES CORP,BusEq
006435,45452,2019.0,Michael,Hsu,CEO,2019-01-01,,05780,2018.0,KIMBERLY-CLARK CORP,Manuf
006669,14262,2018.0,Richard,Beckwitt,CEO,2018-04-12,2023-09-01,10425,2017.0,LENNAR CORP,Other
006669,19665,2021.0,Jonathan,Jaffe,CEO,2020-11-01,2025-12-31,14262,2020.0,LENNAR CORP,Other
007343,21604,2018.0,Sanjay,Mehrotra,CEO,2017-05-08,,15930,2017.0,MICRON TECHNOLOGY INC,BusEq
007985,49074,2019.0,Kathy,Warden,CEO,2019-01-01,,29729,2018.0,NORTHROP GRUMMAN CORP,BusEq
008543,42620,2018.0,Howard,"Willard, III, BA (Ho",CEO,2018-05-17,2020-04-14,35355,2017.0,ALTRIA GROUP INC,NoDur
008543,49093,2020.0,William,"Gifford, Jr.",CEO,2020-04-16,2026-05-14,42620,2019.0,ALTRIA GROUP INC,NoDur
