permno,start,ending,gvkey,sic,conm,ff12_num,ff12_name
10104,1989-08-03,2024-12-31,012142,7372,ORACLE CORP,6,BusEq
10107,1994-06-07,2024-12-31,012141,7372,MICROSOFT CORP,6,BusEq
10145,1925-12-31,2024-12-31,001300,9997,HONEYWELL INTERNATIONAL INC,12,Other
10516,1981-07-30,2024-12-31,001722,2070,ARCHER-DANIELS-MIDLAND CO,1,NoDur
10696,2001-04-02,2024-12-31,012635,7389,FISERV INC,12,Other
10909,2010-04-30,2022-06-07,012850,7373,CERNER CORP,6,BusEq
11308,1957-03-01,2024-12-31,003144,2086,COCA-COLA CO,1,NoDur
11403,2017-09-18,2024-12-31,013421,7372,CADENCE DESIGN SYSTEMS INC,6,BusEq
11552,2006-11-06,2019-11-20,013599,2834,CELGENE CORP,10,Hlth
11600,2008-11-14,2024-04-02,013700,3843,DENTSPLY SIRONA INC,10,Hlth
11618,2008-09-15,2024-12-31,014225,5000,FASTENAL CO,9,Shops
11850,1925-12-31,2024-12-31,004503,2911,EXXON MOBIL CORP,4,Enrgy
11891,2017-07-26,2024-12-31,014418,7990,MGM RESORTS INTERNATIONAL,12,Other
11955,1998-07-17,2024-12-31,014477,4953,WASTE MANAGEMENT INC,12,Other
12052,1957-03-01,2024-12-31,005046,3721,GENERAL DYNAMICS CORP,3,Manuf
12060,1957-03-01,2024-12-31,005047,3724,GE AEROSPACE,3,Manuf
12062,2004-11-01,2024-12-31,014960,8071,LABCORP HOLDINGS INC,10,Hlth
12076,2015-07-29,2018-03-16,015520,5944,SIGNET JEWELERS LTD,9,Shops
12308,2016-09-08,2024-12-31,126136,4841,CHARTER COMMUNICATIONS INC,7,Telcm
12345,2012-09-05,2024-12-31,294524,2820,LYONDELLBASELL INDUSTRIES,5,Chems
12369,2013-06-07,2024-12-31,005073,3711,GENERAL MOTORS CO,2,Durbl
12431,2010-11-17,2024-12-31,005959,3585,TRANE TECHNOLOGIES PLC,3,Manuf
12490,1957-03-01,2024-12-31,006066,7370,INTL BUSINESS MACHINES CORP,6,BusEq
12542,2013-07-09,2022-10-11,100873,8700,NIELSEN HOLDINGS PLC,12,Other
12622,2015-01-27,2024-12-31,022260,8062,HCA HEALTHCARE INC,10,Hlth
12650,2013-05-24,2021-12-13,006335,4011,KANSAS CITY SOUTHERN,12,Other
12872,2011-07-01,2024-12-31,186989,2911,MARATHON PETROLEUM CORP,4,Enrgy
12981,2016-06-24,2022-12-16,188255,3430,FORTUNE BRANDS INNOVATNS INC,3,Manuf
13035,2011-11-01,2024-12-31,189491,3561,XYLEM INC,3,Manuf
13103,2012-12-24,2024-12-31,118122,3714,APTIV PLC,2,Durbl
13142,2013-11-13,2020-05-11,198058,2300,CAPRI HOLDINGS LTD,1,NoDur
13168,2011-12-21,2019-12-20,199356,7370,TRIPADVISOR INC,6,BusEq
