permno,start,ending,gvkey
10104,1989-08-03,2024-12-31,012142
10107,1994-06-07,2024-12-31,012141
10138,1999-10-13,2024-12-31,012138
10145,1925-12-31,2024-12-31,001300
10516,1981-07-30,2024-12-31,001722
10696,2001-04-02,2024-12-31,012635
10909,2010-04-30,2022-06-07,012850
11308,1957-03-01,2024-12-31,003144
11403,2017-09-18,2024-12-31,013421
11404,1925-12-31,2024-12-31,003413
11552,2006-11-06,2019-11-20,013599
11600,2008-11-14,2024-04-02,013700
11618,2008-09-15,2024-12-31,014225
11674,1925-12-31,2024-12-31,003897
11850,1925-12-31,2024-12-31,004503
11891,2017-07-26,2024-12-31,014418
11955,1998-07-17,2024-12-31,014477
12052,1957-03-01,2024-12-31,005046
12060,1957-03-01,2024-12-31,005047
12062,2004-11-01,2024-12-31,014960
12073,2008-11-13,2022-04-01,016245
12076,2015-07-29,2018-03-16,015520
12308,2016-09-08,2024-12-31,126136
12345,2012-09-05,2024-12-31,294524
12369,2013-06-07,2024-12-31,005073
12431,2010-11-17,2024-12-31,005959
12490,1957-03-01,2024-12-31,006066
12542,2013-07-09,2022-10-11,100873
12558,2012-05-25,2024-12-31,006310
12622,2015-01-27,2024-12-31,022260
12650,2013-05-24,2021-12-13,006335
12872,2011-07-01,2024-12-31,186989
12981,2016-06-24,2022-12-16,188255
13035,2011-11-01,2024-12-31,189491
13103,2012-12-24,2024-12-31,118122
13142,2013-11-13,2020-05-11,198058
13168,2011-12-21,2019-12-20,199356
13356,2012-05-01,2024-12-31,170841
13407,2013-12-23,2024-12-31,170617
13586,2012-10-01,2024-12-31,008463
13688,1925-12-31,2019-01-17,008264
13721,2013-01-02,2024-12-31,016101
13760,2017-10-13,2024-12-31,104432
13788,2013-06-24,2024-12-31,013721
13856,1957-03-01,2024-12-31,008479
13901,1957-03-01,2024-12-31,008543
13911,2017-08-29,2024-12-31,017928
13928,1957-03-01,2024-12-31,008549
13936,2013-02-14,2022-09-16,008551
13963,2013-07-01,2024-12-31,018043
13983,2016-10-03,2020-09-18,012151
14008,1992-01-02,2024-12-31,001602
14277,1965-03-04,2024-12-31,009465
14297,2013-12-02,2024-12-31,316056
14338,2017-06-19,2024-12-31,005643
14541,1925-12-31,2024-12-31,002991
14593,1982-11-18,2024-12-31,001690
14601,2014-05-01,2018-06-04,010121
14702,1995-03-16,2024-12-31,001704
14704,2017-06-02,2022-03-01,162906
14776,2015-11-18,2024-12-31,020686
14889,2016-02-01,2024-12-31,021825
15069,1925-12-31,2024-11-25,007017
15202,1999-07-01,2024-12-31,011228
15408,2015-07-06,2024-12-31,005568
15456,2016-04-04,2019-08-08,011584
15488,2015-07-20,2024-12-31,024616
15579,1959-03-25,2024-12-31,010499
15707,2015-11-02,2024-12-31,026156
15720,1925-12-31,2024-12-31,009846
15797,2015-11-30,2018-04-03,026304
16087,2016-07-05,2024-12-31,026590
16432,1925-12-31,2019-02-26,005234
16538,2017-01-17,2021-02-11,030923
16600,1957-03-01,2024-12-31,005597
16678,1957-03-01,2024-12-31,006502
16816,2017-08-07,2019-04-02,031774
16851,2017-09-01,2024-12-31,004060
17005,1957-03-01,2024-12-31,007241
17144,1969-02-13,2024-12-31,005071
17478,1957-03-01,2024-12-31,007163
17750,1957-03-01,2024-12-31,006435
17830,1957-03-01,2024-12-31,010983
18163,1957-03-01,2024-12-31,008762
18411,1944-06-07,2024-12-31,009850
18542,1957-03-01,2024-12-31,002817
18729,1957-03-01,2024-12-31,003170
19166,2009-08-19,2024-12-31,004510
19350,1957-03-01,2024-12-31,003835
19393,1957-03-01,2024-12-31,002403
19502,1979-10-11,2024-12-31,011264
19561,1957-03-01,2024-12-31,002285
19583,2008-08-21,2024-12-31,029804
20415,2007-08-27,2019-09-25,006682
20482,1957-03-01,2024-12-31,001078
