gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
001045,2017-12-31,2017,51396.0,22511.0,2554.0,6809.0,34156.0,5384.0,52.03,475.508,3058.0,2332.0,0.0,1615.0,4512
001045,2018-12-31,2018,60580.0,29081.0,4948.0,5606.0,43249.0,4914.0,32.11,460.611,2354.0,2941.0,0.0,837.0,4512
001045,2019-12-31,2019,59995.0,28875.0,4569.0,6024.0,43732.0,3984.0,28.68,428.203,3960.0,4190.0,0.0,1097.0,4512
001045,2020-12-31,2020,62008.0,36573.0,4448.0,-9022.0,39738.0,7473.0,15.77,621.48,11780.0,3535.0,2970.0,173.0,4512
001045,2021-12-31,2021,66467.0,42181.0,3996.0,-3179.0,37387.0,13421.0,17.96,647.728,12190.0,7343.0,460.0,18.0,4512
001045,2022-12-31,2022,64716.0,38948.0,4739.0,4103.0,38294.0,9960.0,12.72,650.642,1069.0,3752.0,0.0,21.0,4512
001045,2023-12-31,2023,63058.0,35722.0,4941.0,6267.0,38703.0,8488.0,13.74,654.273,4822.0,7718.0,0.0,0.0,4512
001078,2017-12-31,2017,76250.0,27210.0,714.0,7017.0,7607.0,9610.0,57.07,1743.602,6742.0,8650.0,350.0,117.0,2834
001078,2018-12-31,2018,67173.0,19359.0,207.0,7562.0,7563.0,4086.0,72.33,1755.619,4009.0,12433.0,271.0,238.0,2834
001078,2019-12-31,2019,67887.0,17416.0,1683.0,8055.0,8972.0,4140.0,86.86,1762.503,1842.0,3441.0,298.0,718.0,3845
001078,2020-12-31,2020,72548.0,19429.0,461.0,9112.0,10130.0,7148.0,109.49,1771.23,1281.0,1333.0,245.0,403.0,3845
001078,2021-12-31,2021,75196.0,18252.0,999.0,12504.0,10112.0,10249.0,140.74,1764.082,4.0,48.0,255.0,2299.0,3845
001078,2022-12-31,2022,74438.0,15465.0,2481.0,12313.0,10278.0,10170.0,109.79,1737.795,7.0,753.0,167.0,3795.0,3845
001078,2023-12-31,2023,73214.0,14548.0,1325.0,10036.0,11276.0,7279.0,110.07,1734.076,2.0,2498.0,167.0,1227.0,3845
001161,2017-12-31,2017,3540.0,1325.0,70.0,229.0,261.0,1187.0,10.28,967.0,0.0,110.0,20.0,0.0,3674
001161,2018-12-31,2018,4556.0,1114.0,136.0,590.0,348.0,1161.0,18.46,1005.0,0.0,41.0,70.0,0.0,3674
001161,2019-12-31,2019,6028.0,685.0,43.0,725.0,705.0,1507.0,45.86,1170.0,0.0,403.0,523.0,0.0,3674
001161,2020-12-31,2020,8962.0,531.0,41.0,1600.0,849.0,2290.0,91.71,1211.0,0.0,200.0,85.0,78.0,3674
