permno,start,ending
10104,1989-08-03,2024-12-31
10107,1994-06-07,2024-12-31
10138,1999-10-13,2024-12-31
10145,1925-12-31,2024-12-31
10516,1981-07-30,2024-12-31
10696,2001-04-02,2024-12-31
10909,2010-04-30,2022-06-07
11308,1957-03-01,2024-12-31
11403,2017-09-18,2024-12-31
11404,1925-12-31,2024-12-31
11552,2006-11-06,2019-11-20
11600,2008-11-14,2024-04-02
11618,2008-09-15,2024-12-31
11674,1925-12-31,2024-12-31
11762,1957-03-01,2024-12-31
11850,1925-12-31,2024-12-31
11891,2017-07-26,2024-12-31
11955,1998-07-17,2024-12-31
12052,1957-03-01,2024-12-31
12060,1957-03-01,2024-12-31
12062,2004-11-01,2024-12-31
12073,2008-11-13,2022-04-01
12076,2015-07-29,2018-03-16
12308,2016-09-08,2024-12-31
12345,2012-09-05,2024-12-31
12369,2013-06-07,2024-12-31
12431,2010-11-17,2024-12-31
12490,1957-03-01,2024-12-31
12542,2013-07-09,2022-10-11
12558,2012-05-25,2024-12-31
12622,2015-01-27,2024-12-31
12650,2013-05-24,2021-12-13
12872,2011-07-01,2024-12-31
12981,2016-06-24,2022-12-16
13035,2011-11-01,2024-12-31
13103,2012-12-24,2024-12-31
13142,2013-11-13,2020-05-11
13168,2011-12-21,2019-12-20
13356,2012-05-01,2024-12-31
13407,2013-12-23,2024-12-31
13586,2012-10-01,2024-12-31
13688,1925-12-31,2019-01-17
13721,2013-01-02,2024-12-31
13760,2017-10-13,2024-12-31
13788,2013-06-24,2024-12-31
13856,1957-03-01,2024-12-31
13901,1957-03-01,2024-12-31
13911,2017-08-29,2024-12-31
13928,1957-03-01,2024-12-31
13936,2013-02-14,2022-09-16
13963,2013-07-01,2024-12-31
13964,2015-09-21,2024-12-31
13983,2016-10-03,2020-09-18
14008,1992-01-02,2024-12-31
14277,1965-03-04,2024-12-31
14297,2013-12-02,2024-12-31
14338,2017-06-19,2024-12-31
14541,1925-12-31,2024-12-31
14542,2014-04-03,2024-12-31
14593,1982-11-18,2024-12-31
14601,2014-05-01,2018-06-04
14702,1995-03-16,2024-12-31
14704,2017-06-02,2022-03-01
14776,2015-11-18,2024-12-31
14889,2016-02-01,2024-12-31
15069,1925-12-31,2024-11-25
15202,1999-07-01,2024-12-31
15408,2015-07-06,2024-12-31
15456,2016-04-04,2019-08-08
15488,2015-07-20,2024-12-31
15579,1959-03-25,2024-12-31
15707,2015-11-02,2024-12-31
15720,1925-12-31,2024-12-31
15797,2015-11-30,2018-04-03
15980,2016-04-08,2022-06-17
16087,2016-07-05,2024-12-31
16432,1925-12-31,2019-02-26
16538,2017-01-17,2021-02-11
16600,1957-03-01,2024-12-31
16678,1957-03-01,2024-12-31
16816,2017-08-07,2019-04-02
16851,2017-09-01,2024-12-31
17005,1957-03-01,2024-12-31
17144,1969-02-13,2024-12-31
17478,1957-03-01,2024-12-31
17750,1957-03-01,2024-12-31
17830,1957-03-01,2024-12-31
18163,1957-03-01,2024-12-31
18411,1944-06-07,2024-12-31
18542,1957-03-01,2024-12-31
18729,1957-03-01,2024-12-31
19166,2009-08-19,2024-12-31
19350,1957-03-01,2024-12-31
19393,1957-03-01,2024-12-31
19502,1979-10-11,2024-12-31
19561,1957-03-01,2024-12-31
19583,2008-08-21,2024-12-31
20415,2007-08-27,2019-09-25
20482,1957-03-01,2024-12-31
21020,2015-03-23,2024-09-20
21178,1984-07-19,2024-12-31
21186,1957-03-01,2024-07-05
21207,1969-05-15,2024-12-31
21371,1997-05-27,2024-12-31
21573,1925-12-31,2024-12-31
21776,1944-06-07,2024-12-31
21792,1985-07-25,2024-12-31
21936,1957-03-01,2024-12-31
22103,1965-01-07,2024-12-31
22111,1973-05-31,2024-12-31
22293,1957-03-01,2024-12-31
22509,1957-03-01,2024-12-31
22517,1995-11-27,2024-12-31
22592,1957-03-01,2024-12-31
22752,1957-03-01,2024-12-31
22779,1957-03-01,2024-12-31
23026,1957-07-10,2024-12-31
23085,2009-01-02,2018-12-31
23229,1999-05-03,2024-12-31
23393,2015-12-29,2024-12-31
23473,1997-12-18,2024-12-31
23536,2008-10-31,2024-12-31
23579,1978-10-05,2024-12-31
23660,2001-03-01,2024-12-31
23712,1948-07-07,2024-12-31
23819,1957-03-01,2024-12-31
23931,1949-07-06,2024-12-31
24010,1957-03-01,2024-12-31
24109,1951-09-06,2024-12-31
24205,1976-07-01,2024-12-31
24328,2008-12-19,2018-11-12
24643,1957-03-01,2024-12-31
24766,1985-06-13,2024-12-31
24942,1957-03-01,2020-04-03
