gvkey,conm,ff12_name,sic
180405,ACTIVISION BLIZZARD INC,BusEq,7372
012540,ADOBE INC,BusEq,7370
001161,ADVANCED MICRO DEVICES,BusEq,3674
125595,AKAMAI TECHNOLOGIES INC,BusEq,7370
014282,AMPHENOL CORP,BusEq,3678
063080,ANSYS INC,BusEq,7372
001891,AUTOMATIC DATA PROCESSING,BusEq,7374
013421,CADENCE DESIGN SYSTEMS INC,BusEq,7372
111864,COGNIZANT TECH SOLUTIONS,BusEq,7370
004321,EMERSON ELECTRIC CO,BusEq,3823
165993,FIDELITY NATIONAL INFO SVCS,BusEq,7374
026590,FORTIVE CORP,BusEq,3829
015855,GEN DIGITAL INC,BusEq,7372
138205,ILLUMINA INC,BusEq,3826
006008,INTEL CORP,BusEq,3674
006066,INTL BUSINESS MACHINES CORP,BusEq,7370
006304,KLA CORP,BusEq,3827
065772,METTLER-TOLEDO INTL INC,BusEq,3826
007343,MICRON TECHNOLOGY INC,BusEq,3674
007985,NORTHROP GRUMMAN CORP,BusEq,3812
157855,SALESFORCE INC,BusEq,7372
001327,SKYWORKS SOLUTIONS INC,BusEq,3674
199356,TRIPADVISOR INC,BusEq,7370
001209,AIR PRODUCTS & CHEMICALS INC,Chems,2810
029751,ALBEMARLE CORP,Chems,2810
004510,FMC CORP,Chems,2870
008762,PROCTER & GAMBLE CO,Chems,2840
146017,ACUITY INC,Durbl,3640
020548,COTERRA ENERGY INC,Enrgy,1311
014934,DEVON ENERGY CORP,Enrgy,1311
027786,EXPAND ENERGY CORP,Enrgy,1311
170841,PHILLIPS 66,Enrgy,2911
030923,TECHNIPFMC PLC,Enrgy,1389
016101,ABBVIE INC,Hlth,2836
141384,ALIGN TECHNOLOGY INC,Hlth,3843
001602,AMGEN INC,Hlth,2836
002086,BAXTER INTERNATIONAL INC,Hlth,3841
024468,BIOGEN INC,Hlth,2836
061483,DAVITA INC,Hlth,8090
064166,QUEST DIAGNOSTICS INC,Hlth,8071
010115,STRYKER CORP,Hlth,3841
011032,UNIVERSAL HEALTH SVCS INC,Hlth,8062
013721,ZOETIS INC,Hlth,2834
002285,BOEING CO,Manuf,3721
003650,CUMMINS INC,Manuf,3510
005047,GE AEROSPACE,Manuf,3724
006435,KIMBERLY-CLARK CORP,Manuf,2621
005959,TRANE TECHNOLOGIES PLC,Manuf,3585
148349,TRANSDIGM GROUP INC,Manuf,3728
008543,ALTRIA GROUP INC,NoDur,2111
002663,CAMPBELL'S CO (THE),NoDur,2030
003144,COCA-COLA CO,NoDur,2086
179621,PHILIP MORRIS INTERNATIONAL,NoDur,2111
009777,SMUCKER (JM) CO,NoDur,2033
140541,TAPESTRY INC,NoDur,3100
143357,ACCENTURE PLC,Other,8742
013498,CARNIVAL CORP LTD,Other,4400
025340,D R HORTON INC,Other,1531
012635,FISERV INC,Other,7389
004818,FLUOR CORP,Other,1600
001300,HONEYWELL INTERNATIONAL INC,Other,9997
006216,JACOBS SOLUTIONS INC,Other,8700
006669,LENNAR CORP,Other,1531
028930,MARRIOTT INTL INC,Other,7011
010867,UNION PACIFIC CORP,Other,4011
149318,WYNN RESORTS LTD,Other,7990
023809,AUTOZONE INC,Shops,5531
031673,CENCORA INC,Shops,5122
003062,CINTAS CORP,Shops,7200
031846,DARDEN RESTAURANTS INC,Shops,5812
114524,EBAY INC,Shops,5961
028180,O'REILLY AUTOMOTIVE INC,Shops,5531
025434,STARBUCKS CORP,Shops,5812
029736,TRACTOR SUPPLY CO,Shops,5200
178704,ULTA BEAUTY INC,Shops,5990
011259,WALMART INC,Shops,5331
003226,COMCAST CORP,Telcm,4841
002884,LUMEN TECHNOLOGIES INC,Telcm,4813
002136,VERIZON COMMUNICATIONS INC,Telcm,4812
164296,WARNER BROS DISCOVERY INC,Telcm,4841
