Table 1: CEO Linguistic Overconfidence and Book Leverage (H1),,,,
Variable,(1),(2),(3),(4)
Overconfidence,-0.0532,-0.0617,-0.0625,+0.0133
,(0.0364),(0.0388),(0.0404),(0.0121)
Size (log assets),—,+0.0246,+0.0249,-0.0338*
,,(0.0169),(0.0174),(0.0186)
Profitability,—,+0.0747,+0.0790,-0.3043**
,,(0.3114),(0.3307),(0.1219)
Market-to-book,—,+0.0011,+0.0010,+0.0060
,,(0.0117),(0.0125),(0.0050)
Tangibility,—,+0.2052*,+0.2042*,-0.0833
,,(0.1171),(0.1187),(0.1586)
Cash,—,-0.0665,-0.0656,-0.0785
,,(0.1946),(0.2002),(0.0772)
Firm age,—,-0.0012,-0.0012,+0.0196***
,,(0.0010),(0.0010),(0.0053)
Observations,369,369,369,369
R-squared (within),-0.1390,-0.2392,-0.2450,-0.0751
Firm fixed effects,No,No,No,Yes
Year fixed effects,No,No,Yes,Yes
Notes:,"Dependent variable: book leverage at t+1. Firm-clustered SEs in parentheses. *** p<0.01, ** p<0.05, * p<0.10.",,,
