Table 3: Within-firm Change in Overconfidence Around CEO Turnover (H3),,,,,,
,Delta Book Leverage,,,Delta Debt Share,,
Variable,(1),(2),(3),(4),(5),(6)
Delta Overconfidence,+0.0194,+0.0184,+0.0150,+0.1016,+0.0413,+0.1850
,(0.0119),(0.0169),(0.0169),(0.0921),(0.1319),(0.1188)
Delta Size,—,—,+0.0304,—,—,-0.6462**
,,,(0.0414),,,(0.2588)
Delta Profitability,—,—,+0.0129,—,—,-1.8830
,,,(0.2327),,,(1.3710)
Delta M/B,—,—,+0.0130,—,—,+0.0344
,,,(0.0171),,,(0.0850)
Delta Tangibility,—,—,+0.0538,—,—,+0.0667
,,,(0.1746),,,(1.9950)
Delta Cash,—,—,+0.0173,—,—,-1.9195
,,,(0.1769),,,(1.9677)
Observations,43,43,43,34,34,34
R-squared,0.0357,0.3358,0.3592,0.0284,0.1477,0.3766
Industry FE,No,Yes,Yes,No,Yes,Yes
Delta controls,No,No,Yes,No,No,Yes
Notes:,"HC1 robust SEs in parentheses. *** p<0.01, ** p<0.05, * p<0.10.",,,,,
