,N,Mean,Std Dev,Min,P25,Median,P75,Max
Overconfidence,369.0,0.0,0.62,-1.717,-0.389,-0.019,0.4,2.229
book_leverage_t1,369.0,0.359,0.202,0.021,0.217,0.332,0.488,1.032
debt_share_t1,324.0,0.697,0.427,0.0,0.0,0.958,1.0,1.0
Size (log assets),369.0,9.994,1.113,7.585,9.267,9.855,10.767,12.847
Profitability,369.0,0.151,0.077,-0.052,0.106,0.143,0.197,0.345
Market-to-book,369.0,2.588,2.072,0.55,1.304,1.972,2.987,11.857
Tangibility,369.0,0.238,0.229,0.014,0.078,0.141,0.368,0.893
Cash,369.0,0.123,0.095,0.003,0.049,0.104,0.172,0.451
Firm age,369.0,38.531,20.076,5.0,23.0,32.0,57.0,72.0
Financially constrained,369.0,0.439,0.497,0.0,0.0,0.0,1.0,1.0
